Cod_topico,topico,Subtopico,Sub_topico,Oss,ano,Contribucion
6,Games,40,"First Person Shooters",1,2016,1
6,Games,40,"First Person Shooters",1,2016,1
6,Games,40,"First Person Shooters",1,2015,1
6,Games,40,"First Person Shooters",1,2015,1
6,Games,40,"First Person Shooters",1,2015,1
6,Games,40,"First Person Shooters",1,2015,1
6,Games,40,"First Person Shooters",1,2015,1
6,Games,40,"First Person Shooters",1,2015,1
6,Games,40,"First Person Shooters",1,2015,1
6,Games,40,"First Person Shooters",1,2015,1
6,Games,40,"First Person Shooters",1,2015,1
6,Games,40,"First Person Shooters",1,2015,1
6,Games,40,"First Person Shooters",1,2015,1
6,Games,40,"First Person Shooters",1,2015,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
6,Games,40,"First Person Shooters",1,2014,1
8,"Science and Engineering",72,Bio-Informatics,7,2016,7
8,"Science and Engineering",72,Bio-Informatics,7,2016,7
8,"Science and Engineering",72,Bio-Informatics,7,2016,7
8,"Science and Engineering",72,Bio-Informatics,7,2016,7
8,"Science and Engineering",72,Bio-Informatics,7,2016,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
8,"Science and Engineering",72,Bio-Informatics,7,2015,7
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
6,Games,55,Sports,13,2016,13
10,"System Administration",94,Emulators,36,2016,36
10,"System Administration",94,Emulators,36,2016,36
10,"System Administration",94,Emulators,36,2015,36
5,"Home and Education",35,Education,41,2015,41
5,"Home and Education",35,Education,41,2015,41
5,"Home and Education",35,Education,41,2015,41
5,"Home and Education",35,Education,41,2015,41
5,"Home and Education",35,Education,41,2015,41
5,"Home and Education",35,Education,41,2015,41
5,"Home and Education",35,Education,41,2015,41
5,"Home and Education",35,Education,41,2015,41
5,"Home and Education",35,Education,41,2015,41
5,"Home and Education",35,Education,41,2015,41
5,"Home and Education",35,Education,41,2015,41
5,"Home and Education",35,Education,41,2015,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
5,"Home and Education",35,Education,41,2014,41
10,"System Administration",109,Storage,45,2016,45
