os_id,os_name,topic_name,topic_id,oss_id
1,Windows,Games,6,1
2,Linux,Games,6,1
3,Mac,Games,6,1
1,Windows,Games,6,13
2,Linux,Games,6,13
3,Mac,Games,6,13
1,Windows,Development,4,29
2,Linux,Development,4,29
5,BSD,Development,4,29
1,Windows,"System Administration",10,36
1,Windows,Development,4,37
2,Linux,Development,4,37
3,Mac,Development,4,37
1,Windows,"Home and Education",5,41
2,Linux,"Home and Education",5,41
3,Mac,"Home and Education",5,41
1,Windows,Development,4,48
1,Windows,Games,6,49
2,Linux,Games,6,49
3,Mac,Games,6,49
3,Mac,Development,4,50
2,Linux,"Science and Engineering",8,52
5,BSD,"Science and Engineering",8,52
1,Windows,Development,4,53
2,Linux,Development,4,53
3,Mac,Development,4,53
5,BSD,Development,4,53
1,Windows,"Security and Utilities",9,56
1,Windows,Development,4,57
2,Linux,Development,4,57
3,Mac,Development,4,57
2,Linux,Development,4,58
5,BSD,Development,4,58
1,Windows,Graphics,7,67
2,Linux,Graphics,7,67
3,Mac,Graphics,7,67
5,BSD,Graphics,7,67
3,Mac,Development,4,73
2,Linux,Development,4,74
2,Linux,"Business and Enterprise",2,77
5,BSD,"Business and Enterprise",2,77
1,Windows,Graphics,7,81
2,Linux,Graphics,7,81
3,Mac,Graphics,7,81
5,BSD,Graphics,7,81
1,Windows,"Business and Enterprise",2,82
2,Linux,"Business and Enterprise",2,82
3,Mac,"Business and Enterprise",2,82
1,Windows,"Security and Utilities",9,84
2,Linux,"Security and Utilities",9,84
3,Mac,"Security and Utilities",9,84
1,Windows,Games,6,85
2,Linux,Games,6,85
3,Mac,Games,6,85
5,BSD,Games,6,85
1,Windows,Games,6,86
2,Linux,Games,6,86
3,Mac,Games,6,86
5,BSD,Games,6,86
1,Windows,Development,4,94
2,Linux,Development,4,94
3,Mac,Development,4,94
1,Windows,Development,4,95
2,Linux,Development,4,95
1,Windows,"Business and Enterprise",2,96
2,Linux,"Business and Enterprise",2,96
3,Mac,"Business and Enterprise",2,96
2,Linux,"System Administration",10,97
3,Mac,"System Administration",10,97
5,BSD,"System Administration",10,97
1,Windows,"System Administration",10,99
2,Linux,"System Administration",10,99
3,Mac,"System Administration",10,99
1,Windows,Games,6,101
2,Linux,Development,4,102
5,BSD,Development,4,102
1,Windows,Games,6,104
1,Windows,"System Administration",10,107
3,Mac,"System Administration",10,107
5,BSD,"System Administration",10,107
8,Solaris,"System Administration",10,107
3,Mac,"System Administration",10,109
1,Windows,Graphics,7,110
2,Linux,Graphics,7,110
3,Mac,Graphics,7,110
5,BSD,Graphics,7,110
1,Windows,"System Administration",10,111
1,Windows,"Science and Engineering",8,115
2,Linux,"Science and Engineering",8,115
3,Mac,"Science and Engineering",8,115
1,Windows,"Science and Engineering",8,117
2,Linux,"Science and Engineering",8,117
5,BSD,"Science and Engineering",8,117
1,Windows,Games,6,122
2,Linux,Games,6,122
1,Windows,"Business and Enterprise",2,123
3,Mac,"Business and Enterprise",2,123
5,BSD,"Business and Enterprise",2,123
8,Solaris,"Business and Enterprise",2,123
1,Windows,Development,4,125
2,Linux,Development,4,125
3,Mac,Development,4,125
1,Windows,Communications,3,128
2,Linux,Communications,3,128
3,Mac,Communications,3,128
2,Linux,Development,4,129
5,BSD,Development,4,129
1,Windows,"Business and Enterprise",2,134
3,Mac,"Business and Enterprise",2,134
5,BSD,"Business and Enterprise",2,134
1,Windows,Development,4,135
2,Linux,Development,4,135
3,Mac,Development,4,135
1,Windows,Development,4,137
2,Linux,Development,4,137
3,Mac,Development,4,137
1,Windows,"System Administration",10,144
2,Linux,"System Administration",10,144
3,Mac,"System Administration",10,144
5,BSD,"System Administration",10,144
1,Windows,Games,6,145
3,Mac,Games,6,145
5,BSD,Games,6,145
8,Solaris,Games,6,145
1,Windows,"Security and Utilities",9,149
2,Linux,"Security and Utilities",9,149
3,Mac,"Security and Utilities",9,149
5,BSD,"Security and Utilities",9,149
1,Windows,Development,4,150
2,Linux,Development,4,150
3,Mac,Development,4,150
1,Windows,"Science and Engineering",8,151
2,Linux,"Science and Engineering",8,151
3,Mac,"Science and Engineering",8,151
5,BSD,"Science and Engineering",8,151
1,Windows,"System Administration",10,156
3,Mac,"System Administration",10,156
5,BSD,"System Administration",10,156
8,Solaris,"System Administration",10,156
1,Windows,Development,4,157
2,Linux,Development,4,157
3,Mac,Development,4,157
1,Windows,"Security and Utilities",9,160
1,Windows,"System Administration",10,161
2,Linux,"System Administration",10,161
3,Mac,"System Administration",10,161
1,Windows,Development,4,162
2,Linux,Development,4,162
3,Mac,Development,4,162
5,BSD,Development,4,162
1,Windows,Games,6,163
2,Linux,Games,6,163
3,Mac,Games,6,163
5,BSD,Games,6,163
2,Linux,Communications,3,164
1,Windows,Games,6,165
2,Linux,Games,6,165
5,BSD,Games,6,165
1,Windows,"Science and Engineering",8,169
2,Linux,"Science and Engineering",8,169
3,Mac,"Science and Engineering",8,169
1,Windows,"Science and Engineering",8,171
2,Linux,"Science and Engineering",8,171
1,Windows,"Science and Engineering",8,172
2,Linux,"Science and Engineering",8,172
3,Mac,"Science and Engineering",8,172
3,Mac,"System Administration",10,183
1,Windows,"System Administration",10,188
1,Windows,Development,4,189
2,Linux,Development,4,189
3,Mac,Development,4,189
1,Windows,Development,4,190
2,Linux,Development,4,190
3,Mac,Development,4,190
1,Windows,"Science and Engineering",8,191
2,Linux,"Science and Engineering",8,191
3,Mac,"Science and Engineering",8,191
5,BSD,"Science and Engineering",8,191
1,Windows,Games,6,193
2,Linux,Games,6,193
3,Mac,Games,6,193
1,Windows,"Science and Engineering",8,195
1,Windows,Games,6,198
2,Linux,Games,6,198
5,BSD,Games,6,198
1,Windows,Development,4,201
2,Linux,Development,4,201
5,BSD,Development,4,201
1,Windows,"System Administration",10,202
2,Linux,"System Administration",10,202
3,Mac,"System Administration",10,202
8,Solaris,"System Administration",10,202
2,Linux,"System Administration",10,203
1,Windows,"Science and Engineering",8,204
2,Linux,"Science and Engineering",8,204
5,BSD,"Science and Engineering",8,204
1,Windows,Development,4,205
2,Linux,Development,4,205
3,Mac,Development,4,205
1,Windows,Development,4,209
2,Linux,Development,4,209
3,Mac,Development,4,209
2,Linux,Communications,3,211
5,BSD,Communications,3,211
2,Linux,"System Administration",10,216
5,BSD,"System Administration",10,216
1,Windows,Development,4,219
2,Linux,Development,4,219
3,Mac,Development,4,219
1,Windows,"System Administration",10,221
2,Linux,"System Administration",10,221
3,Mac,"System Administration",10,221
1,Windows,Development,4,223
2,Linux,Development,4,223
3,Mac,Development,4,223
2,Linux,"System Administration",10,226
5,BSD,"System Administration",10,226
1,Windows,Development,4,228
2,Linux,Development,4,228
3,Mac,Development,4,228
1,Windows,"System Administration",10,229
1,Windows,Development,4,230
2,Linux,Development,4,230
3,Mac,Development,4,230
1,Windows,Development,4,233
2,Linux,Development,4,233
3,Mac,Development,4,233
5,BSD,Development,4,233
2,Linux,"System Administration",10,234
3,Mac,"System Administration",10,234
5,BSD,"System Administration",10,234
8,Solaris,"System Administration",10,234
1,Windows,"System Administration",10,235
2,Linux,"System Administration",10,235
3,Mac,"System Administration",10,235
5,BSD,"System Administration",10,235
1,Windows,"Audio and Video",1,236
2,Linux,"Audio and Video",1,236
3,Mac,"Audio and Video",1,236
1,Windows,Games,6,239
2,Linux,Games,6,239
3,Mac,Games,6,239
1,Windows,Development,4,240
2,Linux,Development,4,240
3,Mac,Development,4,240
1,Windows,Games,6,242
2,Linux,Games,6,242
3,Mac,Games,6,242
1,Windows,Development,4,244
2,Linux,Development,4,244
3,Mac,Development,4,244
5,BSD,Development,4,244
2,Linux,Development,4,245
5,BSD,Development,4,245
1,Windows,"Audio and Video",1,248
1,Windows,Development,4,252
2,Linux,Development,4,252
3,Mac,Development,4,252
4,Android,Development,4,255
2,Linux,"Science and Engineering",8,256
5,BSD,"Science and Engineering",8,256
2,Linux,Games,6,259
3,Mac,Games,6,259
5,BSD,Games,6,259
2,Linux,Development,4,266
3,Mac,Development,4,266
5,BSD,Development,4,266
1,Windows,"Science and Engineering",8,267
2,Linux,"Science and Engineering",8,267
3,Mac,"Science and Engineering",8,267
1,Windows,Development,4,268
2,Linux,Development,4,268
3,Mac,Development,4,268
1,Windows,Games,6,278
2,Linux,Games,6,278
1,Windows,Development,4,281
1,Windows,Development,4,282
2,Linux,Development,4,282
3,Mac,Development,4,282
5,BSD,Development,4,282
1,Windows,"Science and Engineering",8,283
2,Linux,"Science and Engineering",8,283
3,Mac,"Science and Engineering",8,283
5,BSD,"Science and Engineering",8,283
1,Windows,Development,4,286
2,Linux,Development,4,286
3,Mac,Development,4,286
5,BSD,Development,4,286
2,Linux,Development,4,290
1,Windows,"Business and Enterprise",2,294
1,Windows,Development,4,296
2,Linux,Development,4,296
3,Mac,Development,4,296
1,Windows,"Science and Engineering",8,297
2,Linux,"Science and Engineering",8,297
5,BSD,"Science and Engineering",8,297
1,Windows,Development,4,299
2,Linux,Development,4,299
3,Mac,Development,4,299
1,Windows,Development,4,302
2,Linux,Development,4,302
5,BSD,Development,4,302
1,Windows,Development,4,303
2,Linux,Development,4,303
3,Mac,Development,4,303
1,Windows,Development,4,309
2,Linux,Development,4,309
3,Mac,Development,4,309
2,Linux,Development,4,310
1,Windows,Games,6,311
2,Linux,Games,6,311
2,Linux,Development,4,319
1,Windows,Development,4,322
1,Windows,Development,4,325
2,Linux,Development,4,325
3,Mac,Development,4,325
1,Windows,"Business and Enterprise",2,326
2,Linux,"Business and Enterprise",2,326
3,Mac,"Business and Enterprise",2,326
1,Windows,"Business and Enterprise",2,327
2,Linux,"Business and Enterprise",2,327
3,Mac,"Business and Enterprise",2,327
2,Linux,Development,4,331
2,Linux,Development,4,336
5,BSD,Development,4,336
2,Linux,"Audio and Video",1,338
5,BSD,"Audio and Video",1,338
1,Windows,Games,6,340
1,Windows,"System Administration",10,341
2,Linux,"System Administration",10,341
2,Linux,Development,4,344
1,Windows,"Science and Engineering",8,345
2,Linux,"Science and Engineering",8,345
1,Windows,Development,4,346
1,Windows,Development,4,347
2,Linux,Development,4,347
2,Linux,"Security and Utilities",9,350
2,Linux,Development,4,361
5,BSD,Development,4,361
1,Windows,"System Administration",10,365
2,Linux,"System Administration",10,365
1,Windows,Development,4,366
2,Linux,Development,4,366
3,Mac,Development,4,366
5,BSD,Development,4,366
1,Windows,"Science and Engineering",8,371
2,Linux,"Science and Engineering",8,371
3,Mac,"Science and Engineering",8,371
5,BSD,"Science and Engineering",8,371
1,Windows,"Business and Enterprise",2,373
3,Mac,"Business and Enterprise",2,373
5,BSD,"Business and Enterprise",2,373
8,Solaris,"Business and Enterprise",2,373
1,Windows,"Science and Engineering",8,374
2,Linux,"Science and Engineering",8,374
3,Mac,"Science and Engineering",8,374
1,Windows,Development,4,378
2,Linux,Development,4,378
3,Mac,Development,4,378
1,Windows,Games,6,380
2,Linux,Games,6,380
3,Mac,Games,6,380
4,Android,Games,6,380
2,Linux,"Business and Enterprise",2,386
2,Linux,"Science and Engineering",8,387
2,Linux,"System Administration",10,388
1,Windows,Development,4,389
2,Linux,Development,4,389
1,Windows,Development,4,399
2,Linux,Development,4,399
3,Mac,Development,4,399
1,Windows,"Business and Enterprise",2,402
2,Linux,"Business and Enterprise",2,402
3,Mac,"Business and Enterprise",2,402
5,BSD,"Business and Enterprise",2,402
1,Windows,Development,4,406
2,Linux,Development,4,406
3,Mac,Development,4,406
5,BSD,Development,4,406
1,Windows,"Business and Enterprise",2,409
2,Linux,"Business and Enterprise",2,409
3,Mac,"Business and Enterprise",2,409
8,Solaris,"Business and Enterprise",2,409
1,Windows,Communications,3,411
2,Linux,Communications,3,411
3,Mac,Communications,3,411
1,Windows,Development,4,415
2,Linux,Development,4,415
3,Mac,Development,4,415
1,Windows,Games,6,425
2,Linux,Games,6,425
3,Mac,Games,6,425
5,BSD,Games,6,425
1,Windows,"Business and Enterprise",2,426
2,Linux,"Business and Enterprise",2,426
3,Mac,"Business and Enterprise",2,426
2,Linux,"System Administration",10,431
2,Linux,Development,4,439
1,Windows,"Science and Engineering",8,442
2,Linux,"Science and Engineering",8,442
3,Mac,"Science and Engineering",8,442
2,Linux,Games,6,445
5,BSD,Games,6,445
1,Windows,"Home and Education",5,459
2,Linux,"Home and Education",5,459
3,Mac,"Home and Education",5,459
2,Linux,"Science and Engineering",8,464
5,BSD,"Science and Engineering",8,464
1,Windows,Communications,3,465
2,Linux,Communications,3,465
3,Mac,Communications,3,465
1,Windows,Development,4,471
2,Linux,Development,4,471
3,Mac,Development,4,471
1,Windows,"Home and Education",5,478
1,Windows,Development,4,479
2,Linux,Development,4,479
5,BSD,Development,4,479
1,Windows,Development,4,480
2,Linux,Development,4,480
3,Mac,Development,4,480
2,Linux,"System Administration",10,484
5,BSD,"System Administration",10,484
2,Linux,Communications,3,488
5,BSD,"System Administration",10,496
1,Windows,Development,4,499
2,Linux,Development,4,499
3,Mac,Development,4,499
1,Windows,"Science and Engineering",8,502
2,Linux,"Science and Engineering",8,502
3,Mac,"Science and Engineering",8,502
4,Android,Communications,3,503
2,Linux,"Science and Engineering",8,509
2,Linux,"Security and Utilities",9,514
2,Linux,"System Administration",10,515
1,Windows,Development,4,516
1,Windows,Development,4,519
2,Linux,Development,4,519
3,Mac,Development,4,519
1,Windows,Development,4,525
1,Windows,"Home and Education",5,527
2,Linux,"Home and Education",5,527
5,BSD,"Home and Education",5,527
1,Windows,Development,4,530
2,Linux,Development,4,530
3,Mac,Development,4,530
2,Linux,Development,4,533
5,BSD,Development,4,533
1,Windows,Graphics,7,545
2,Linux,Graphics,7,545
2,Linux,"Science and Engineering",8,547
1,Windows,Games,6,548
2,Linux,Games,6,548
3,Mac,Games,6,548
1,Windows,Games,6,550
2,Linux,Games,6,550
3,Mac,Games,6,550
2,Linux,"System Administration",10,553
1,Windows,Games,6,555
2,Linux,Games,6,555
3,Mac,Games,6,555
5,BSD,Games,6,555
1,Windows,Communications,3,568
2,Linux,Communications,3,568
3,Mac,Communications,3,568
1,Windows,Development,4,572
2,Linux,Development,4,572
3,Mac,Development,4,572
1,Windows,Development,4,573
2,Linux,Development,4,573
3,Mac,Development,4,573
1,Windows,Development,4,575
2,Linux,Development,4,575
3,Mac,Development,4,575
1,Windows,"System Administration",10,576
2,Linux,"System Administration",10,576
4,Android,Communications,3,577
2,Linux,"System Administration",10,579
5,BSD,"System Administration",10,579
1,Windows,Development,4,587
3,Mac,Development,4,587
1,Windows,"Science and Engineering",8,588
2,Linux,"Science and Engineering",8,588
3,Mac,"Science and Engineering",8,588
1,Windows,"Audio and Video",1,593
3,Mac,"Audio and Video",1,593
1,Windows,"Home and Education",5,594
2,Linux,"Home and Education",5,594
3,Mac,"Home and Education",5,594
1,Windows,Development,4,595
2,Linux,Development,4,595
3,Mac,Development,4,595
5,BSD,Development,4,595
2,Linux,Communications,3,600
1,Windows,Graphics,7,603
2,Linux,Graphics,7,603
3,Mac,Graphics,7,603
1,Windows,"Business and Enterprise",2,608
1,Windows,"System Administration",10,609
1,Windows,Development,4,612
2,Linux,Development,4,612
3,Mac,Development,4,612
1,Windows,Games,6,616
1,Windows,Graphics,7,627
2,Linux,Graphics,7,627
3,Mac,Graphics,7,627
1,Windows,Development,4,633
2,Linux,Development,4,633
3,Mac,Development,4,633
2,Linux,"Security and Utilities",9,634
2,Linux,"System Administration",10,656
5,BSD,"System Administration",10,656
1,Windows,Development,4,657
2,Linux,Development,4,657
1,Windows,Development,4,660
1,Windows,Graphics,7,661
1,Windows,"System Administration",10,667
2,Linux,"System Administration",10,667
3,Mac,"System Administration",10,667
2,Linux,Development,4,670
5,BSD,Development,4,670
2,Linux,Games,6,671
5,BSD,Games,6,671
1,Windows,Development,4,676
2,Linux,Development,4,676
3,Mac,Development,4,676
2,Linux,"System Administration",10,678
5,BSD,"System Administration",10,678
1,Windows,Development,4,679
2,Linux,Development,4,679
3,Mac,Development,4,679
1,Windows,Development,4,680
2,Linux,Development,4,680
3,Mac,Development,4,680
1,Windows,Development,4,681
2,Linux,Development,4,681
3,Mac,Development,4,681
1,Windows,"Science and Engineering",8,690
2,Linux,"Science and Engineering",8,690
3,Mac,"Science and Engineering",8,690
1,Windows,Development,4,692
2,Linux,Development,4,692
3,Mac,Development,4,692
2,Linux,"Security and Utilities",9,701
5,BSD,"Security and Utilities",9,701
1,Windows,Graphics,7,717
2,Linux,Graphics,7,717
3,Mac,Graphics,7,717
1,Windows,"Science and Engineering",8,719
2,Linux,"Science and Engineering",8,719
3,Mac,"Science and Engineering",8,719
1,Windows,Communications,3,720
2,Linux,Communications,3,720
3,Mac,Communications,3,720
1,Windows,Development,4,721
2,Linux,Development,4,721
5,BSD,Development,4,721
1,Windows,Graphics,7,722
2,Linux,"Security and Utilities",9,729
4,Android,"Security and Utilities",9,729
1,Windows,Development,4,731
2,Linux,Development,4,733
5,BSD,Development,4,733
2,Linux,Development,4,736
5,BSD,Development,4,736
4,Android,Development,4,738
1,Windows,Development,4,739
2,Linux,Development,4,739
3,Mac,Development,4,739
1,Windows,"Science and Engineering",8,741
2,Linux,"Science and Engineering",8,741
3,Mac,"Science and Engineering",8,741
1,Windows,Development,4,744
2,Linux,Development,4,744
3,Mac,Development,4,744
1,Windows,Development,4,747
2,Linux,Development,4,747
3,Mac,Development,4,747
1,Windows,Development,4,750
2,Linux,Development,4,750
3,Mac,Development,4,750
2,Linux,Communications,3,751
2,Linux,"Science and Engineering",8,753
1,Windows,Development,4,756
2,Linux,Development,4,756
3,Mac,Development,4,756
1,Windows,"System Administration",10,757
2,Linux,"System Administration",10,757
5,BSD,"System Administration",10,757
1,Windows,Games,6,759
2,Linux,Games,6,759
3,Mac,Games,6,759
5,BSD,Games,6,759
1,Windows,Graphics,7,760
2,Linux,Graphics,7,760
3,Mac,Graphics,7,760
5,BSD,Graphics,7,760
1,Windows,"Security and Utilities",9,761
1,Windows,Development,4,766
2,Linux,Development,4,766
3,Mac,Development,4,766
1,Windows,"Science and Engineering",8,775
2,Linux,"Science and Engineering",8,775
3,Mac,"Science and Engineering",8,775
1,Windows,"Science and Engineering",8,777
2,Linux,"Science and Engineering",8,777
1,Windows,Development,4,778
2,Linux,Development,4,778
3,Mac,Development,4,778
5,BSD,Development,4,778
1,Windows,"Business and Enterprise",2,817
2,Linux,"Business and Enterprise",2,817
3,Mac,"Business and Enterprise",2,817
2,Linux,"Science and Engineering",8,825
3,Mac,"Science and Engineering",8,825
2,Linux,"System Administration",10,837
5,BSD,"System Administration",10,837
2,Linux,"Security and Utilities",9,838
2,Linux,Development,4,844
5,BSD,Development,4,844
2,Linux,Development,4,845
5,BSD,Development,4,845
2,Linux,"System Administration",10,846
5,BSD,"System Administration",10,846
3,Mac,Development,4,849
1,Windows,"System Administration",10,858
2,Linux,"System Administration",10,858
3,Mac,"System Administration",10,858
2,Linux,Graphics,7,863
3,Mac,Graphics,7,863
5,BSD,Graphics,7,863
1,Windows,Development,4,880
2,Linux,Development,4,880
3,Mac,Development,4,880
1,Windows,Development,4,882
2,Linux,Development,4,882
3,Mac,Development,4,882
1,Windows,Development,4,887
2,Linux,Development,4,887
3,Mac,Development,4,887
2,Linux,"Science and Engineering",8,888
5,BSD,"Science and Engineering",8,888
1,Windows,"Science and Engineering",8,891
2,Linux,"Science and Engineering",8,891
5,BSD,"Science and Engineering",8,891
2,Linux,"System Administration",10,894
1,Windows,Development,4,896
2,Linux,Development,4,896
3,Mac,Development,4,896
2,Linux,Development,4,900
3,Mac,"Audio and Video",1,901
2,Linux,"Security and Utilities",9,904
1,Windows,Games,6,907
2,Linux,Games,6,907
3,Mac,Games,6,907
1,Windows,"Science and Engineering",8,914
2,Linux,"Science and Engineering",8,914
3,Mac,"Science and Engineering",8,914
1,Windows,Communications,3,916
2,Linux,Communications,3,916
3,Mac,Communications,3,916
1,Windows,Games,6,923
2,Linux,"Science and Engineering",8,931
2,Linux,Development,4,935
5,BSD,Development,4,935
1,Windows,"Science and Engineering",8,944
2,Linux,"Science and Engineering",8,944
3,Mac,"Science and Engineering",8,944
1,Windows,"Science and Engineering",8,945
1,Windows,Development,4,946
2,Linux,Development,4,946
3,Mac,Development,4,946
1,Windows,Development,4,947
2,Linux,Development,4,947
3,Mac,Development,4,947
1,Windows,Development,4,950
2,Linux,Development,4,950
3,Mac,Development,4,950
1,Windows,"Security and Utilities",9,954
2,Linux,"Security and Utilities",9,954
3,Mac,"Security and Utilities",9,954
2,Linux,"Science and Engineering",8,957
5,BSD,"Science and Engineering",8,957
1,Windows,Games,6,959
2,Linux,Games,6,959
3,Mac,Games,6,959
2,Linux,"System Administration",10,960
5,BSD,"System Administration",10,960
1,Windows,Development,4,961
2,Linux,Development,4,961
3,Mac,Development,4,961
1,Windows,"System Administration",10,965
2,Linux,"System Administration",10,965
3,Mac,"System Administration",10,965
1,Windows,Development,4,970
2,Linux,Development,4,970
3,Mac,Development,4,970
1,Windows,Development,4,972
2,Linux,Development,4,972
3,Mac,Development,4,972
1,Windows,Development,4,973
2,Linux,Development,4,973
3,Mac,Development,4,973
4,Android,Communications,3,977
1,Windows,Development,4,982
2,Linux,Development,4,982
1,Windows,Games,6,997
2,Linux,Games,6,997
3,Mac,Games,6,997
1,Windows,Games,6,998
2,Linux,Games,6,998
3,Mac,Games,6,998
1,Windows,Communications,3,1000
2,Linux,Communications,3,1000
3,Mac,Communications,3,1000
1,Windows,"Home and Education",5,1001
2,Linux,"Home and Education",5,1001
3,Mac,"Home and Education",5,1001
