topic_id,topic_name,oss_id,language_id,name
6,Games,1,3,C++
6,Games,5,3,C++
8,"Science and Engineering",7,3,C++
8,"Science and Engineering",7,4,C
8,"Science and Engineering",7,14,"Objective C"
7,Graphics,9,5,Python
6,Games,13,6,PHP
6,Games,13,7,JavaScript
4,Development,29,3,C++
10,"System Administration",36,3,C++
4,Development,37,1,Java
5,"Home and Education",41,1,Java
10,"System Administration",45,4,C
10,"System Administration",45,5,Python
4,Development,48,3,C++
6,Games,49,1,Java
4,Development,50,14,"Objective C"
8,"Science and Engineering",52,4,C
8,"Science and Engineering",52,8,Perl
4,Development,53,1,Java
9,"Security and Utilities",56,17,Delphi/Kylix
4,Development,57,1,Java
4,Development,58,4,C
7,Graphics,67,4,C
4,Development,68,1,Java
4,Development,73,3,C++
4,Development,74,5,Python
2,"Business and Enterprise",77,4,C
7,Graphics,81,3,C++
7,Graphics,81,5,Python
9,"Security and Utilities",84,1,Java
6,Games,85,3,C++
4,Development,89,31,"Object Pascal"
4,Development,89,32,"Free Pascal"
4,Development,94,1,Java
4,Development,95,1,Java
4,Development,95,3,C++
2,"Business and Enterprise",96,6,PHP
2,"Business and Enterprise",96,7,JavaScript
10,"System Administration",97,4,C
3,Communications,98,2,C#
10,"System Administration",99,4,C
6,Games,101,2,C#
4,Development,102,4,C
6,Games,104,2,C#
10,"System Administration",107,4,C
6,Games,108,1,Java
6,Games,108,3,C++
10,"System Administration",109,3,C++
10,"System Administration",109,4,C
10,"System Administration",109,14,"Objective C"
7,Graphics,110,4,C
10,"System Administration",111,3,C++
10,"System Administration",113,4,C
8,"Science and Engineering",115,1,Java
6,Games,116,1,Java
8,"Science and Engineering",117,3,C++
8,"Science and Engineering",117,4,C
6,Games,122,3,C++
6,Games,122,5,Python
2,"Business and Enterprise",123,2,C#
2,"Business and Enterprise",123,3,C++
2,"Business and Enterprise",123,5,Python
2,"Business and Enterprise",123,11,Ruby
4,Development,125,1,Java
4,Development,125,15,"XLS (XSLT/XPath/XSL-FO)"
3,Communications,128,1,Java
3,Communications,128,7,JavaScript
3,Communications,128,15,"XLS (XSLT/XPath/XSL-FO)"
4,Development,129,5,Python
2,"Business and Enterprise",134,6,PHP
4,Development,135,1,Java
4,Development,136,1,Java
4,Development,137,1,Java
4,Development,138,6,PHP
4,Development,138,8,Perl
4,Development,138,18,"Visual Basic"
4,Development,139,1,Java
4,Development,140,3,C++
4,Development,140,5,Python
4,Development,142,3,C++
4,Development,142,4,C
4,Development,143,3,C++
4,Development,143,4,C
10,"System Administration",144,5,Python
9,"Security and Utilities",149,2,C#
4,Development,150,1,Java
4,Development,150,6,PHP
8,"Science and Engineering",151,3,C++
10,"System Administration",156,4,C
4,Development,157,21,PL/SQL
10,"System Administration",159,3,C++
9,"Security and Utilities",160,3,C++
10,"System Administration",161,1,Java
4,Development,162,3,C++
6,Games,163,4,C
3,Communications,164,3,C++
3,Communications,164,4,C
3,Communications,164,23,Tcl
6,Games,165,3,C++
4,Development,166,3,C++
2,"Business and Enterprise",167,1,Java
8,"Science and Engineering",168,12,MATLAB
8,"Science and Engineering",169,5,Python
8,"Science and Engineering",171,5,Python
8,"Science and Engineering",172,1,Java
4,Development,173,3,C++
10,"System Administration",174,4,C
4,Development,175,1,Java
8,"Science and Engineering",180,5,Python
10,"System Administration",183,3,C++
10,"System Administration",183,14,"Objective C"
10,"System Administration",188,2,C#
4,Development,189,1,Java
4,Development,189,2,C#
4,Development,190,6,PHP
8,"Science and Engineering",191,1,Java
8,"Science and Engineering",191,3,C++
8,"Science and Engineering",191,5,Python
6,Games,193,3,C++
6,Games,193,4,C
6,Games,193,10,Lua
8,"Science and Engineering",195,12,MATLAB
6,Games,198,4,C
8,"Science and Engineering",199,5,Python
4,Development,201,3,C++
10,"System Administration",202,1,Java
10,"System Administration",202,7,JavaScript
10,"System Administration",202,13,JSP
10,"System Administration",203,4,C
10,"System Administration",203,8,Perl
8,"Science and Engineering",204,3,C++
4,Development,205,1,Java
4,Development,209,3,C++
4,Development,210,6,PHP
3,Communications,211,4,C
