oss,topic_id,topic_name,overall_rating
1,6,Games,5
5,6,Games,5
7,8,"Science and Engineering",5
9,7,Graphics,5
13,6,Games,5
29,4,Development,5
36,10,"System Administration",5
37,4,Development,5
41,5,"Home and Education",5
45,10,"System Administration",5
48,4,Development,5
49,6,Games,5
50,4,Development,5
52,8,"Science and Engineering",5
53,4,Development,5
56,9,"Security and Utilities",5
57,4,Development,4
58,4,Development,5
62,5,"Home and Education",5
67,7,Graphics,5
68,4,Development,5
74,4,Development,5
77,2,"Business and Enterprise",5
81,7,Graphics,5
82,2,"Business and Enterprise",5
84,9,"Security and Utilities",5
85,6,Games,5
86,6,Games,5
89,4,Development,3
94,4,Development,5
95,4,Development,5
96,2,"Business and Enterprise",5
97,10,"System Administration",4
98,3,Communications,5
99,10,"System Administration",5
101,6,Games,5
102,4,Development,5
107,10,"System Administration",5
108,6,Games,5
109,10,"System Administration",4
110,7,Graphics,5
111,10,"System Administration",5
115,8,"Science and Engineering",5
116,6,Games,5
117,8,"Science and Engineering",5
122,6,Games,5
123,2,"Business and Enterprise",5
125,4,Development,5
128,3,Communications,5
129,4,Development,5
134,2,"Business and Enterprise",4
135,4,Development,5
136,4,Development,5
137,4,Development,5
138,4,Development,5
139,4,Development,4
140,4,Development,5
142,4,Development,5
143,4,Development,5
144,10,"System Administration",4
145,6,Games,5
149,9,"Security and Utilities",5
150,4,Development,5
151,8,"Science and Engineering",5
155,8,"Science and Engineering",5
156,10,"System Administration",5
157,4,Development,5
159,10,"System Administration",5
160,9,"Security and Utilities",5
161,10,"System Administration",5
162,4,Development,5
163,6,Games,4
164,3,Communications,5
165,6,Games,5
167,2,"Business and Enterprise",5
168,8,"Science and Engineering",4
169,8,"Science and Engineering",5
171,8,"Science and Engineering",5
172,8,"Science and Engineering",5
173,4,Development,5
174,10,"System Administration",5
175,4,Development,5
183,10,"System Administration",4
188,10,"System Administration",5
189,4,Development,5
190,4,Development,5
191,8,"Science and Engineering",5
193,6,Games,4
195,8,"Science and Engineering",5
197,4,Development,5
198,6,Games,5
199,8,"Science and Engineering",5
201,4,Development,5
203,10,"System Administration",5
204,8,"Science and Engineering",5
205,4,Development,5
209,4,Development,5
211,3,Communications,5
214,6,Games,5
