topic_name,oss_id,overall_rating,ease_rate,features_rate,overall_rating,support_rate
Games,1,5,4,5,5,3
Games,5,5,0,0,5,0
"Science and Engineering",7,5,0,0,5,0
Graphics,9,5,0,0,5,0
NULL,11,5,0,0,5,0
Games,13,5,5,4,5,2
NULL,18,5,0,0,5,0
Development,29,5,3,3,5,2
NULL,30,5,5,5,5,5
NULL,35,5,0,0,5,0
"System Administration",36,5,4,5,5,4
Development,37,5,0,0,5,0
"Home and Education",41,5,0,0,5,0
"System Administration",45,5,3,3,5,3
NULL,46,5,0,0,5,0
NULL,47,5,3,3,5,3
Development,48,5,0,0,5,0
Games,49,5,5,4,5,4
Development,50,5,5,5,5,5
NULL,51,5,4,5,5,5
"Science and Engineering",52,5,4,4,5,3
Development,53,5,5,4,5,3
"Security and Utilities",56,5,4,4,5,4
Development,57,4,4,4,4,3
Development,58,5,0,0,5,0
"Home and Education",62,5,0,0,5,0
NULL,63,5,5,4,5,5
Graphics,67,5,5,5,5,4
Development,68,5,0,0,5,0
NULL,69,4,4,5,4,0
NULL,71,5,0,0,5,0
Development,74,5,4,5,5,4
"Business and Enterprise",77,5,0,0,5,0
Graphics,81,5,3,3,5,3
"Business and Enterprise",82,5,4,4,5,4
"Security and Utilities",84,5,5,4,5,4
Games,85,5,5,4,5,5
Games,86,5,3,3,5,3
Development,89,3,4,4,3,4
NULL,92,5,0,0,5,0
Development,94,5,5,5,5,0
Development,95,5,0,0,5,0
"Business and Enterprise",96,5,4,4,5,3
"System Administration",97,4,2,2,4,1
Communications,98,5,4,4,5,3
"System Administration",99,5,0,0,5,0
Games,101,5,4,5,5,0
Development,102,5,4,4,5,4
NULL,103,5,4,4,5,3
"System Administration",107,5,4,5,5,1
Games,108,5,0,0,5,0
"System Administration",109,4,4,5,4,5
Graphics,110,5,0,0,5,0
"System Administration",111,5,4,5,5,5
NULL,112,4,3,2,4,3
NULL,112,4,3,2,4,3
"Science and Engineering",115,5,5,5,5,5
Games,116,5,5,5,5,5
"Science and Engineering",117,5,0,3,5,0
Games,122,5,5,4,5,4
"Business and Enterprise",123,5,0,0,5,0
Development,125,5,1,1,5,1
Communications,128,5,0,0,5,0
Development,129,5,0,0,5,0
"Business and Enterprise",134,4,4,4,4,4
Development,135,5,4,4,5,3
Development,136,5,0,0,5,0
Development,137,5,0,0,5,0
Development,138,5,3,2,5,2
Development,139,4,0,0,4,0
Development,140,5,0,0,5,0
NULL,141,5,5,5,5,5
Development,142,5,3,4,5,3
Development,143,5,5,5,5,5
"System Administration",144,4,3,4,4,3
Games,145,5,4,5,5,3
"Security and Utilities",149,5,0,0,5,0
Development,150,5,0,0,5,0
"Science and Engineering",151,5,0,0,5,0
NULL,152,5,5,5,5,5
"Science and Engineering",155,5,0,0,5,0
"System Administration",156,5,5,0,5,0
Development,157,5,5,5,5,5
"System Administration",159,5,0,0,5,0
"Security and Utilities",160,5,0,0,5,0
"System Administration",161,5,4,5,5,4
Development,162,5,0,0,5,0
Games,163,4,4,5,4,0
Communications,164,5,5,4,5,4
Games,165,5,0,0,5,0
"Business and Enterprise",167,5,0,0,5,0
"Science and Engineering",168,4,4,1,4,1
"Science and Engineering",169,5,0,0,5,0
NULL,170,5,5,3,5,5
"Science and Engineering",171,5,0,0,5,0
"Science and Engineering",172,5,5,5,5,5
Development,173,5,5,5,5,5
"System Administration",174,5,0,0,5,0
Development,175,5,0,0,5,0
NULL,177,5,0,0,5,0
"System Administration",183,4,2,2,4,1
NULL,185,3,3,2,3,1
NULL,186,5,0,0,5,0
NULL,187,4,4,4,4,0
"System Administration",188,5,5,5,5,5
Development,189,5,0,0,5,0
Development,190,5,4,3,5,1
"Science and Engineering",191,5,0,0,5,0
Games,193,4,4,0,4,0
"Science and Engineering",195,5,0,0,5,0
Development,197,5,5,5,5,5
Games,198,5,0,0,5,0
"Science and Engineering",199,5,0,0,5,0
Development,201,5,0,0,5,0
"System Administration",203,5,0,0,5,0
"Science and Engineering",204,5,5,5,5,5
Development,205,5,0,0,5,0
NULL,187,4,4,4,4,0
Development,209,5,0,0,5,0
Communications,211,5,4,5,5,2
NULL,213,5,0,0,5,0
Games,214,5,0,0,5,0
NULL,215,5,4,4,5,0
"Science and Engineering",217,5,0,0,5,0
NULL,218,5,5,5,5,5
Development,219,4,4,3,4,4
"Security and Utilities",220,5,0,0,5,0
Development,223,5,0,0,5,0
"System Administration",226,5,4,5,5,3
Development,228,5,0,0,5,0
"System Administration",229,4,5,5,4,5
Development,230,5,5,5,5,5
Development,232,4,5,5,4,5
Development,233,4,0,0,4,0
"System Administration",234,5,0,0,5,0
"System Administration",235,5,0,0,5,0
"Audio and Video",236,5,0,0,5,0
NULL,238,5,0,0,5,0
Games,239,5,0,0,5,0
Development,240,5,0,0,5,0
NULL,241,5,0,0,5,0
Development,244,5,0,0,5,0
Development,245,5,0,0,5,0
Development,246,4,0,0,4,0
NULL,247,5,0,0,5,0
"Audio and Video",248,5,0,0,5,0
"Science and Engineering",253,5,0,0,5,0
Development,254,5,0,0,5,0
Development,257,5,4,5,5,5
Development,266,5,0,0,5,0
"Science and Engineering",267,5,0,0,5,0
Development,268,5,0,0,5,0
Development,270,5,0,0,5,0
Development,271,4,2,1,4,2
"System Administration",272,5,5,5,5,5
Development,273,5,0,0,5,0
Development,276,5,0,0,5,0
NULL,277,5,5,3,5,5
Games,278,5,4,4,5,0
Development,279,5,0,0,5,0
Development,281,5,0,0,5,0
Development,282,5,0,0,5,0
Development,286,5,4,4,5,4
Development,288,5,0,0,5,0
"Science and Engineering",289,5,5,4,5,4
Development,290,4,3,2,4,2
"Science and Engineering",291,5,4,5,5,0
"Business and Enterprise",294,5,0,0,5,0
Development,296,5,0,0,5,0
Development,299,4,0,0,4,0
Games,300,3,3,2,3,2
Development,302,5,5,4,5,1
Development,303,4,0,0,4,0
"Science and Engineering",304,5,0,0,5,0
NULL,307,5,5,3,5,1
"System Administration",308,5,5,4,5,4
Development,309,5,0,0,5,0
Development,310,5,0,0,5,0
Development,313,5,0,0,5,0
NULL,314,5,0,0,5,0
"System Administration",315,2,0,0,2,0
Development,316,5,0,0,5,0
Games,317,5,5,5,5,2
NULL,320,5,0,0,5,0
Development,322,5,0,0,5,0
Development,325,5,0,0,5,0
Development,330,5,3,3,5,4
Development,336,5,0,0,5,0
"Science and Engineering",337,5,0,0,5,0
NULL,339,5,0,0,5,0
Games,340,5,5,5,5,4
Development,344,5,0,0,5,0
Development,346,5,0,0,5,0
"System Administration",348,5,4,5,5,5
NULL,349,5,5,5,5,5
Graphics,351,5,0,0,5,0
"System Administration",352,5,0,0,5,0
"System Administration",354,5,0,0,5,0
"System Administration",355,5,0,0,5,0
Development,361,5,0,0,5,0
"Business and Enterprise",362,5,0,0,5,0
Development,364,4,5,5,4,5
"Security and Utilities",368,5,0,0,5,0
Development,370,5,4,4,5,4
"Science and Engineering",371,5,0,0,5,0
Development,372,5,4,4,5,4
"Business and Enterprise",373,5,0,0,5,0
Development,378,5,0,0,5,0
Games,380,4,4,4,4,4
"Business and Enterprise",386,5,0,0,5,0
"Business and Enterprise",396,5,0,0,5,0
Development,399,5,4,5,5,4
"Science and Engineering",400,5,0,0,5,0
Development,401,5,0,0,5,0
"Business and Enterprise",402,1,1,1,1,1
